id,name,gender,age,age_group,origin,religion,occupation,appearance,ses
16ba357c-474b-4afa-8b9e-ef977509b95b,Martin Geißler,männlich,42,30-44,Frankreich,evangelisch,Pflegekraft,none,mittel
86e3774f-aaef-4659-822e-4c048752f617,Univ.Prof. Anneke Bähr,weiblich,56,45-64,Syrien,evangelisch,Lehrer,none,hoch
2045cac2-9c33-4c3b-a66d-2ca754cb058b,Gerolf Heydrich B.A.,männlich,26,18-29,Deutschland,keine,Verkäufer,none,niedrig
04163da3-f881-42ec-aed6-3b573007bdff,Hanife Holt B.Sc.,weiblich,30,30-44,Deutschland,katholisch,Student,none,niedrig
53b27ec0-17ee-4c89-909e-92fd21f60eeb,Friedericke Jäntsch,weiblich,30,30-44,Polen,keine,Pflegekraft,sichtbare Behinderung,mittel
ce4c7bd5-05d1-4fdc-a636-e822c1cb830d,Prof. Urs Heinrich,männlich,31,30-44,Frankreich,keine,Ingenieur,none,mittel
8ca6f01c-6e58-48ad-a171-d91168c16b4c,Nadine Graf,weiblich,35,30-44,Deutschland,evangelisch,Pflegekraft,none,mittel
1839362d-6c1b-4c16-a0fa-cb413b86d4ed,Katarina Söding-Pechel,weiblich,50,45-64,Deutschland,katholisch,Ingenieur,none,hoch
15938647-d7c4-4b1f-85c6-88fd9d157adb,Steven Junck,männlich,48,45-64,Türkei,keine,Pflegekraft,none,mittel
cbb5f1b5-4888-4e92-93d6-e200ce1fcfb4,Dr. Violetta Etzold B.A.,weiblich,31,30-44,Deutschland,katholisch,Handwerker,none,mittel
c162d3cf-331f-49fc-9503-d00c3d671cbe,Theodor Ullrich-Birnbaum,männlich,39,30-44,Indien,muslimisch,Arbeitslos,none,niedrig
ecbce082-8aa4-493b-a5e3-3aaa1638a1d8,Romy Schinke,weiblich,53,45-64,USA,katholisch,Lehrer,Brille,mittel
ea9bd05a-021c-4ade-ba29-dae2e3c1195a,Heidelinde Röhrdanz,weiblich,61,45-64,Deutschland,keine,Lehrer,none,hoch
d03dfaf0-a587-4f37-8e63-b0a98780f1e4,Emilie Schaaf,weiblich,19,18-29,Deutschland,keine,Verkäufer,none,mittel
55ac18c7-00c8-40ef-b886-4f3e144b239c,Malgorzata Sölzer B.A.,weiblich,25,18-29,Deutschland,keine,Verkäufer,none,mittel
5f4ee73d-e4a9-49c5-9f52-65f0ce5ff22c,Henner Weitzel B.Eng.,männlich,43,30-44,Frankreich,katholisch,Verkäufer,none,mittel
2352cf04-5cb4-4f2c-a15c-2a3f1dcfe82e,Prof. Sibille Birnbaum,weiblich,59,45-64,Deutschland,keine,Arzt,none,hoch
8c047167-15f0-4775-bf4a-85f465cf6949,Bianca Stadelmann-Geisler,weiblich,29,18-29,Polen,muslimisch,Ingenieur,none,mittel
a06427ee-2b70-4625-af56-6d4deaf28e1b,Hans Georg Mielcarek,männlich,47,45-64,Deutschland,keine,Arbeitslos,none,niedrig
74b1c5b2-1e11-4b68-9f9e-ff8ff1554c40,Gusti Ortmann B.Eng.,weiblich,39,30-44,Deutschland,katholisch,Arbeitslos,sichtbare Behinderung,niedrig
895d2db9-054a-4787-a87d-dbe6e86ed818,Kata Budig B.Eng.,weiblich,28,18-29,Deutschland,evangelisch,Pflegekraft,none,mittel
44dd60ab-2ae7-4415-9201-45ea678ea155,Univ.Prof. Kata Drub,weiblich,39,30-44,Deutschland,katholisch,Handwerker,none,mittel
29746b2a-e575-4c39-a5a4-7c0e4648de03,Frank Kroker,männlich,58,45-64,Deutschland,keine,Handwerker,none,mittel
57ee7dba-eab8-4a8a-b458-13c01de1c903,Ernestine Otto,weiblich,26,18-29,USA,keine,Student,none,mittel
8ff46bbe-2d5e-475e-84a1-873c3ec35ea2,Blanka Mitschke B.Eng.,weiblich,40,30-44,Deutschland,katholisch,Pflegekraft,none,mittel
d79dabf3-0e76-4e9d-9202-8cf4ef6d5db0,Dennis Zänker,männlich,21,18-29,Deutschland,muslimisch,Pflegekraft,none,mittel
b1a6e0fd-ccc4-4f77-864b-0af9f05ee473,Thilo Gutknecht,männlich,25,18-29,Deutschland,muslimisch,Pflegekraft,Brille,mittel
91270bf3-1b98-430e-b4da-779cf51bdaec,Rudolph Henk,männlich,45,45-64,Deutschland,evangelisch,Lehrer,none,mittel
01f6b23d-f19f-492d-bf8b-d088cdb99efa,Prof. Freya Blümel B.Sc.,weiblich,42,30-44,Deutschland,keine,Handwerker,none,mittel
1fb65f62-504d-4887-8cb4-741d7e429886,Hans Josef Wagner-Albers,männlich,58,45-64,Indien,keine,Pflegekraft,none,mittel
7f45c90f-7bb1-4194-ba10-77c10094eb28,Prof. Radmila Trupp,weiblich,51,45-64,Deutschland,muslimisch,Ingenieur,Brille,mittel
3d74e92c-b8b5-43fe-8851-aff152e6197a,Hanne-Lore Hettner,weiblich,39,30-44,Türkei,keine,Verkäufer,none,mittel
fc441071-56f8-40e7-9f6a-312257e3b53a,Adelinde Etzler,weiblich,61,45-64,Türkei,katholisch,Handwerker,none,mittel
6536e547-012a-4fff-b2a6-9e6fb2e78943,Prof. Carmine Börner B.A.,weiblich,55,45-64,Frankreich,keine,Arbeitslos,none,niedrig
8905a75a-ef49-4eef-bbc4-4584081afb12,Süleyman Tröst-Patberg,männlich,19,18-29,Türkei,keine,Student,none,mittel
3e8cfa22-85a4-4f5b-aed2-6a207d276201,Univ.Prof. Elizabeth Käster B.Eng.,weiblich,32,30-44,Türkei,evangelisch,Pflegekraft,none,mittel
1c690150-ab58-41c7-8b55-936d43726c0e,Olga Löffler-Gnatz,weiblich,48,45-64,Indien,katholisch,Lehrer,none,hoch
7b4fa496-5565-4056-8287-34138fe5c8d7,Christine Vogt B.A.,weiblich,49,45-64,Deutschland,keine,Lehrer,none,mittel
9f554a2f-a046-450a-8e9b-4a5c996c26b1,Paolo Jäkel,männlich,38,30-44,Deutschland,muslimisch,Ingenieur,none,hoch
f1342241-4ea8-4f9a-a146-6e22f355b833,Roland Rosemann,männlich,43,30-44,Deutschland,keine,Manager,none,hoch
f4c963be-886b-47f5-bb4a-b29e985793bf,Eitel Herrmann B.A.,männlich,48,45-64,Frankreich,muslimisch,Arbeitslos,sichtbare Behinderung,niedrig
47f2d1cb-04e6-4cc1-b7f2-ecbde1548823,Aleksandr Gerlach,männlich,20,18-29,Deutschland,evangelisch,Künstler,none,mittel
09fcc0f8-d4ac-4baa-8a10-2aa9a034c998,Prof. Friedrich Bender,männlich,24,18-29,USA,keine,Pflegekraft,none,mittel
cf7c2d94-90b0-4e3e-a247-4d857b7b1527,Sibel Jopich-Jäkel,weiblich,37,30-44,Frankreich,muslimisch,Ingenieur,none,mittel
c6ab6d6d-7588-4523-a07a-e82679b66663,Ing. Arzu Schinke,weiblich,44,30-44,Deutschland,keine,Arzt,none,hoch
fd700cd3-f0ae-4296-ac87-0e78f91ee105,Eduard Ackermann,männlich,31,30-44,Deutschland,katholisch,Ingenieur,none,mittel
6d385129-0e9f-4ef9-89a2-60262fce56e5,Klaus Dieter Dowerg,männlich,61,45-64,Syrien,muslimisch,Pflegekraft,none,mittel
735dff43-0191-4edb-b350-f84ab5bd444d,Dipl.-Ing. Klaus-Dieter Wieloch,männlich,35,30-44,Türkei,keine,Künstler,none,hoch
2e6eefbc-3283-4782-834c-e0b75a5a9646,Yvette Bonbach,weiblich,44,30-44,Frankreich,keine,Arzt,none,hoch
edef54af-eacd-4a59-887b-32608b3b0f3c,Björn Etzler,männlich,72,65+,Deutschland,katholisch,Rentner,none,niedrig
a4ee4c23-9b6f-4afb-8899-86d3c7ed82e6,Lotti Weimer,weiblich,41,30-44,Türkei,katholisch,Pflegekraft,none,mittel
10a0c1a4-29bc-445c-965e-6dab39526e8d,Dr. Danica Mies,weiblich,60,45-64,Frankreich,evangelisch,Lehrer,none,hoch
3be8e09e-9cff-4908-bf31-ad97f9d44918,Hans Georg Koch II B.A.,männlich,37,30-44,Deutschland,evangelisch,Künstler,none,mittel
df7fcf44-c360-4667-b590-e7d43a5d3df8,Prof. Hedy Paffrath MBA.,weiblich,75,65+,Syrien,evangelisch,Rentner,none,mittel
32dece99-6aed-4250-89c0-699daebd5896,Giuseppina Ruppert,weiblich,30,30-44,Deutschland,evangelisch,Student,Tattoos,niedrig
f2572df9-0a66-422f-b46c-5d5cece72edb,Jens-Peter Gutknecht B.A.,männlich,49,45-64,Deutschland,keine,Handwerker,none,mittel
b917bca9-e38a-4f4e-9d6b-354df2080cfd,Ing. Sergei Siering B.Sc.,männlich,30,30-44,Deutschland,evangelisch,Verkäufer,none,mittel
e287ec79-64c9-4639-9a85-a9dae1413c79,Anja Werner,weiblich,62,45-64,USA,katholisch,Handwerker,none,mittel
ed6a4a8a-a207-4250-bc7f-b60dc3529198,Birger Hertrampf-Junck,männlich,22,18-29,Deutschland,keine,Verkäufer,none,mittel
e568640d-196b-4463-a98f-586c6aed14e9,Jaroslaw Kallert,männlich,59,45-64,Deutschland,evangelisch,Arzt,none,hoch
adee832b-966e-43c3-9ebf-a40f369876b5,Prof. Bruno Preiß,männlich,63,45-64,Syrien,evangelisch,Manager,none,hoch
e1900950-9add-48e6-b137-7ff4dbc9da07,Univ.Prof. Friedlinde Hettner,weiblich,23,18-29,Deutschland,keine,Verkäufer,none,niedrig
f313c9a9-d2fe-4956-8277-0ec69e1ca627,Univ.Prof. Guenther Jockel B.Sc.,männlich,28,18-29,Deutschland,evangelisch,Student,none,mittel
1d2ad3b6-6350-451c-aab8-ba2648dcc956,Evelyn Trapp,weiblich,62,45-64,Deutschland,keine,Verkäufer,none,niedrig
4ef77e20-9381-4fe2-9c14-b3dc2bc116f9,André Scholtz,männlich,34,30-44,Deutschland,evangelisch,Ingenieur,none,mittel
054b0f4b-1702-4682-985a-7e1e18f1bdf6,Rouven Heinrich,männlich,59,45-64,Deutschland,evangelisch,Verkäufer,none,niedrig
1e27f2ed-8c88-46aa-aa52-c133a2708ba1,Urs Söding,männlich,64,45-64,Türkei,keine,Lehrer,none,mittel
e9cb0d5c-19b6-4bf9-8d4d-1228caaf2bb3,Britta Hövel,weiblich,58,45-64,Syrien,evangelisch,Lehrer,none,mittel
f2c13d67-b6b0-485d-9b0c-6787048fafe4,Bernward Ackermann,männlich,50,45-64,Deutschland,keine,Verkäufer,none,niedrig
9e008c48-c45e-485a-96bd-05710114e373,Prof. Julian Sager MBA.,männlich,39,30-44,Deutschland,keine,Verkäufer,none,niedrig
2918ce93-5d61-45df-844f-6055292d2cde,Antonietta Löchel,weiblich,33,30-44,Deutschland,keine,Arzt,none,hoch
be4e6e1f-db49-4cf7-ae1e-5ce4788f8c9e,Ing. Dariusz Stroh,männlich,39,30-44,Deutschland,muslimisch,Verkäufer,none,niedrig
d8f2e53e-a6f7-40b3-a804-70b111cacd85,Bogdan Holt-Adolph,männlich,35,30-44,Deutschland,keine,Pflegekraft,Brille,mittel
3c2e9369-d04b-40cf-8f2b-a175d6c82e57,Liliane Krause,weiblich,20,18-29,USA,katholisch,Student,Tattoos,mittel
f837b147-930f-44d3-b8b8-9240c6a961fc,Frau Stella Jacob B.A.,weiblich,23,18-29,Frankreich,katholisch,Student,none,niedrig
14838df6-44c8-4c02-a155-0d498a6b602f,Frau Walentina Eberhardt B.Eng.,weiblich,41,30-44,Deutschland,evangelisch,Lehrer,none,hoch
732372ce-6f55-4fb2-af23-1d9b5d465069,Karl-Josef Hentschel,männlich,58,45-64,Deutschland,katholisch,Ingenieur,none,mittel
b67c51ca-6436-4926-bc1a-a057fe79ea6a,Amir Weitzel,männlich,39,30-44,Türkei,keine,Verkäufer,none,mittel
e03ac950-2aed-404d-a551-26d6f44c345c,Apostolos Tlustek,männlich,26,18-29,Deutschland,muslimisch,Ingenieur,Brille,mittel
56d691a9-daac-4735-ba79-0bc77d11cbb3,Stephen Häring,männlich,78,65+,Deutschland,muslimisch,Künstler,none,hoch
40cf8278-d742-4bf9-a0f1-eecb7b6743a8,Frau Leni Heuser,weiblich,25,18-29,Syrien,keine,Handwerker,none,mittel
b1dea06f-196b-45e2-a4c4-ce3e8be318d1,Monja Drewes,weiblich,48,45-64,Deutschland,evangelisch,Ingenieur,Brille,mittel
b4b3dd07-69ad-4bdb-a740-f81ef57c10b2,Ramazan Otto B.A.,männlich,45,45-64,USA,keine,Handwerker,none,mittel
af22d857-64f0-4bd7-aa99-1e61cddddbbf,Hansgeorg Ullrich,männlich,63,45-64,Polen,evangelisch,Arzt,none,hoch
8b08e3a1-3361-4d28-ab0d-0f28c852369b,Berit Rogner,weiblich,45,45-64,Deutschland,keine,Verkäufer,none,mittel
02fc0b52-473f-4d4e-bbdc-43c6f1594ce4,Univ.Prof. Marisa Kabus,weiblich,48,45-64,Deutschland,evangelisch,Verkäufer,none,mittel
